"행정구역","2015년12월_계_총인구수","2015년12월_계_연령구간인구수","2015년12월_계_60~64세","2015년12월_계_65~69세","2015년12월_계_70~74세","2015년12월_계_75~79세","2015년12월_계_80~84세","2015년12월_계_85~89세","2015년12월_계_90~94세","2015년12월_계_95~99세","2015년12월_계_100세 이상","2015년12월_남_총인구수","2015년12월_남_연령구간인구수","2015년12월_남_60~64세","2015년12월_남_65~69세","2015년12월_남_70~74세","2015년12월_남_75~79세","2015년12월_남_80~84세","2015년12월_남_85~89세","2015년12월_남_90~94세","2015년12월_남_95~99세","2015년12월_남_100세 이상","2015년12월_여_총인구수","2015년12월_여_연령구간인구수","2015년12월_여_60~64세","2015년12월_여_65~69세","2015년12월_여_70~74세","2015년12월_여_75~79세","2015년12월_여_80~84세","2015년12월_여_85~89세","2015년12월_여_90~94세","2015년12월_여_95~99세","2015년12월_여_100세 이상"
"전국  (0000000000)","51,529,338","9,656,763","2,881,662","2,191,617","1,789,894","1,386,543","838,507","386,703","134,214","31,414","16,209","25,758,186","4,262,242","1,411,839","1,050,474","801,927","564,174","288,017","103,656","31,436","6,937","3,782","25,771,152","5,394,521","1,469,823","1,141,143","987,967","822,369","550,490","283,047","102,778","24,477","12,427"
"서울특별시  (1100000000)","10,022,181","1,847,676","585,240","452,512","347,368","234,999","130,345","62,456","23,212","6,507","5,037","4,930,943","834,758","279,098","213,781","163,424","103,173","48,243","18,019","5,985","1,742","1,293","5,091,238","1,012,918","306,142","238,731","183,944","131,826","82,102","44,437","17,227","4,765","3,744"
"부산광역시  (2600000000)","3,513,777","762,654","248,024","184,875","140,328","99,313","54,727","24,401","7,782","1,715","1,489","1,735,570","340,627","119,522","88,033","64,475","41,159","18,875","6,165","1,711","367","320","1,778,207","422,027","128,502","96,842","75,853","58,154","35,852","18,236","6,071","1,348","1,169"
"대구광역시  (2700000000)","2,487,829","462,409","146,287","107,406","84,843","64,041","37,722","15,560","4,909","1,098","543","1,237,291","201,443","69,858","50,332","37,030","25,595","13,088","4,128","1,076","216","120","1,250,538","260,966","76,429","57,074","47,813","38,446","24,634","11,432","3,833","882","423"
"인천광역시  (2800000000)","2,925,815","461,292","148,387","107,447","81,709","60,438","36,796","17,854","6,434","1,526","701","1,469,869","206,948","74,051","52,466","37,130","24,212","12,308","4,634","1,584","375","188","1,455,946","254,344","74,336","54,981","44,579","36,226","24,488","13,220","4,850","1,151","513"
"광주광역시  (2900000000)","1,472,199","236,357","69,968","57,380","44,455","32,034","19,112","9,234","3,111","749","314","729,662","102,959","33,436","26,931","19,980","12,912","6,511","2,414","634","108","33","742,537","133,398","36,532","30,449","24,475","19,122","12,601","6,820","2,477","641","281"
"대전광역시  (3000000000)","1,518,775","243,621","78,093","56,188","43,897","32,239","19,856","9,149","3,192","726","281","759,778","109,217","38,426","27,267","19,865","13,245","6,877","2,537","755","183","62","758,997","134,404","39,667","28,921","24,032","18,994","12,979","6,612","2,437","543","219"
"울산광역시  (3100000000)","1,173,534","164,509","61,304","39,164","27,014","18,803","10,995","5,016","1,729","345","139","604,889","76,220","31,324","20,035","12,536","7,432","3,434","1,090","275","68","26","568,645","88,289","29,980","19,129","14,478","11,371","7,561","3,926","1,454","277","113"
"세종특별자치시  (3600000000)","210,884","31,351","8,952","6,662","5,637","4,714","3,178","1,540","541","93","34","105,752","13,697","4,468","3,219","2,460","1,916","1,077","415","120","13","9","105,132","17,654","4,484","3,443","3,177","2,798","2,101","1,125","421","80","25"
"경기도  (4100000000)","12,522,606","1,912,653","593,771","433,941","350,197","266,001","158,801","74,130","26,575","6,229","3,008","6,299,812","857,929","295,569","207,900","157,782","110,635","56,423","20,565","6,731","1,532","792","6,222,794","1,054,724","298,202","226,041","192,415","155,366","102,378","53,565","19,844","4,697","2,216"
"강원도  (4200000000)","1,549,507","360,910","99,239","72,213","72,123","59,607","33,023","16,519","6,146","1,432","608","781,434","158,328","49,201","34,386","32,183","24,849","11,149","4,309","1,686","360","205","768,073","202,582","50,038","37,827","39,940","34,758","21,874","12,210","4,460","1,072","403"
"충청북도  (4300000000)","1,583,952","326,888","92,075","66,119","62,229","52,357","33,110","14,581","4,940","1,037","440","798,896","143,035","45,745","32,222","27,410","21,147","11,112","3,901","1,190","194","114","785,056","183,853","46,330","33,897","34,819","31,210","21,998","10,680","3,750","843","326"
"충청남도  (4400000000)","2,077,649","458,092","116,878","95,903","84,428","76,011","52,160","22,599","7,721","1,712","680","1,054,439","200,046","57,939","46,839","36,879","30,680","18,760","6,605","1,839","360","145","1,023,210","258,046","58,939","49,064","47,549","45,331","33,400","15,994","5,882","1,352","535"
"전라북도  (4500000000)","1,869,711","445,741","112,217","98,716","83,782","71,225","48,181","22,256","7,039","1,686","639","930,255","190,716","55,463","47,235","35,884","27,762","16,224","6,160","1,593","273","122","939,456","255,025","56,754","51,481","47,898","43,463","31,957","16,096","5,446","1,413","517"
"전라남도  (4600000000)","1,908,996","508,892","117,055","107,180","100,599","90,223","55,564","26,626","8,906","1,986","753","953,881","213,004","58,485","51,574","42,580","33,784","17,596","6,767","1,826","304","88","955,115","295,888","58,570","55,606","58,019","56,439","37,968","19,859","7,080","1,682","665"
"경상북도  (4700000000)","2,702,826","657,871","178,237","136,584","122,051","107,712","69,146","30,749","10,399","2,259","734","1,357,306","281,656","87,224","66,615","52,270","41,626","23,002","8,034","2,310","427","148","1,345,520","376,215","91,013","69,969","69,781","66,086","46,144","22,715","8,089","1,832","586"
"경상남도  (4800000000)","3,364,702","658,095","194,076","143,306","117,531","99,271","63,697","28,801","9,153","1,664","596","1,694,981","281,282","96,329","69,131","50,134","37,082","19,486","6,890","1,797","340","93","1,669,721","376,813","97,747","74,175","67,397","62,189","44,211","21,911","7,356","1,324","503"
"제주특별자치도  (5000000000)","624,395","117,752","31,859","26,021","21,703","17,555","12,094","5,232","2,425","650","213","313,428","50,377","15,701","12,508","9,905","6,965","3,852","1,023","324","75","24","310,967","67,375","16,158","13,513","11,798","10,590","8,242","4,209","2,101","575","189"
