"행정구역","2016년12월_계_총인구수","2016년12월_계_연령구간인구수","2016년12월_계_60~64세","2016년12월_계_65~69세","2016년12월_계_70~74세","2016년12월_계_75~79세","2016년12월_계_80~84세","2016년12월_계_85~89세","2016년12월_계_90~94세","2016년12월_계_95~99세","2016년12월_계_100세 이상","2016년12월_남_총인구수","2016년12월_남_연령구간인구수","2016년12월_남_60~64세","2016년12월_남_65~69세","2016년12월_남_70~74세","2016년12월_남_75~79세","2016년12월_남_80~84세","2016년12월_남_85~89세","2016년12월_남_90~94세","2016년12월_남_95~99세","2016년12월_남_100세 이상","2016년12월_여_총인구수","2016년12월_여_연령구간인구수","2016년12월_여_60~64세","2016년12월_여_65~69세","2016년12월_여_70~74세","2016년12월_여_75~79세","2016년12월_여_80~84세","2016년12월_여_85~89세","2016년12월_여_90~94세","2016년12월_여_95~99세","2016년12월_여_100세 이상"
"전국  (0000000000)","51,696,216","10,134,728","3,139,076","2,237,345","1,781,229","1,457,890","909,130","416,164","141,488","34,844","17,562","25,827,594","4,497,366","1,540,582","1,072,395","806,680","600,607","319,391","113,221","32,695","7,658","4,137","25,868,622","5,637,362","1,598,494","1,164,950","974,549","857,283","589,739","302,943","108,793","27,186","13,425"
"서울특별시  (1100000000)","9,930,616","1,923,213","627,314","448,956","350,580","251,961","141,649","66,067","24,153","7,058","5,475","4,876,789","868,970","298,480","211,568","163,766","112,076","54,033","19,595","6,146","1,900","1,406","5,053,827","1,054,243","328,834","237,388","186,814","139,885","87,616","46,472","18,007","5,158","4,069"
"부산광역시  (2600000000)","3,498,529","798,789","262,725","191,726","140,369","106,214","59,350","26,483","8,384","1,953","1,585","1,725,607","357,212","126,318","90,841","64,984","44,514","21,014","6,959","1,840","402","340","1,772,922","441,577","136,407","100,885","75,385","61,700","38,336","19,524","6,544","1,551","1,245"
"대구광역시  (2700000000)","2,484,557","485,662","156,761","113,421","82,739","67,796","40,861","17,073","5,237","1,183","591","1,234,169","212,629","75,132","52,980","36,574","27,346","14,462","4,626","1,156","218","135","1,250,388","273,033","81,629","60,441","46,165","40,450","26,399","12,447","4,081","965","456"
"인천광역시  (2800000000)","2,943,069","490,540","166,285","108,013","83,667","63,942","40,199","19,157","6,799","1,724","754","1,477,671","221,298","83,037","52,795","38,397","26,061","13,750","5,080","1,564","417","197","1,465,398","269,242","83,248","55,218","45,270","37,881","26,449","14,077","5,235","1,307","557"
"광주광역시  (2900000000)","1,469,214","246,989","74,417","58,451","44,765","34,529","20,527","9,843","3,277","825","355","728,137","108,201","35,778","27,279","20,395","14,133","7,132","2,635","692","118","39","741,077","138,788","38,639","31,172","24,370","20,396","13,395","7,208","2,585","707","316"
"대전광역시  (3000000000)","1,514,370","257,327","85,759","57,891","43,716","34,059","21,527","9,957","3,309","801","308","757,289","115,860","42,202","28,049","20,021","14,222","7,561","2,750","789","193","73","757,081","141,467","43,557","29,842","23,695","19,837","13,966","7,207","2,520","608","235"
"울산광역시  (3100000000)","1,172,304","175,893","67,125","41,855","27,464","19,897","11,853","5,361","1,813","387","138","603,797","81,950","34,133","21,333","13,007","8,126","3,787","1,182","287","67","28","568,507","93,943","32,992","20,522","14,457","11,771","8,066","4,179","1,526","320","110"
"세종특별자치시  (3600000000)","243,048","34,910","10,713","7,446","5,763","5,030","3,501","1,718","576","114","49","121,505","15,361","5,313","3,585","2,593","2,049","1,220","454","122","17","8","121,543","19,549","5,400","3,861","3,170","2,981","2,281","1,264","454","97","41"
"경기도  (4100000000)","12,716,780","2,044,471","669,996","440,224","357,143","283,006","175,095","80,245","28,395","7,062","3,305","6,395,453","922,878","333,990","211,457","162,468","119,014","63,487","22,835","6,977","1,774","876","6,321,327","1,121,593","336,006","228,767","194,675","163,992","111,608","57,410","21,418","5,288","2,429"
"강원도  (4200000000)","1,550,806","377,649","111,497","70,835","70,620","62,162","36,316","17,472","6,527","1,564","656","781,146","166,945","55,728","33,646","31,887","25,993","12,725","4,650","1,721","384","211","769,660","210,704","55,769","37,189","38,733","36,169","23,591","12,822","4,806","1,180","445"
"충청북도  (4300000000)","1,591,625","343,090","102,400","67,836","60,318","53,799","36,293","15,595","5,161","1,217","471","803,240","151,438","51,254","33,096","26,962","21,907","12,507","4,100","1,251","236","125","788,385","191,652","51,146","34,740","33,356","31,892","23,786","11,495","3,910","981","346"
"충청남도  (4400000000)","2,096,727","476,486","126,378","99,447","81,949","76,860","56,611","24,475","8,123","1,905","738","1,064,765","209,483","62,877","48,507","36,798","31,047","20,592","7,165","1,942","396","159","1,031,962","267,003","63,501","50,940","45,151","45,813","36,019","17,310","6,181","1,509","579"
