"행정구역","2008년12월_계_총인구수","2008년12월_계_연령구간인구수","2008년12월_계_60~64세","2008년12월_계_65~69세","2008년12월_계_70~74세","2008년12월_계_75~79세","2008년12월_계_80~84세","2008년12월_계_85~89세","2008년12월_계_90~94세","2008년12월_계_95~99세","2008년12월_계_100세 이상","2008년12월_남_총인구수","2008년12월_남_연령구간인구수","2008년12월_남_60~64세","2008년12월_남_65~69세","2008년12월_남_70~74세","2008년12월_남_75~79세","2008년12월_남_80~84세","2008년12월_남_85~89세","2008년12월_남_90~94세","2008년12월_남_95~99세","2008년12월_남_100세 이상","2008년12월_여_총인구수","2008년12월_여_연령구간인구수","2008년12월_여_60~64세","2008년12월_여_65~69세","2008년12월_여_70~74세","2008년12월_여_75~79세","2008년12월_여_80~84세","2008년12월_여_85~89세","2008년12월_여_90~94세","2008년12월_여_95~99세","2008년12월_여_100세 이상"
"전국  (0000000000)","49,540,367","7,110,229","2,040,956","1,923,840","1,440,577","892,465","489,692","236,472","69,124","14,768","2,335","24,822,897","3,028,945","989,786","879,481","606,143","319,313","151,538","64,836","14,862","2,731","255","24,717,470","4,081,284","1,051,170","1,044,359","834,434","573,152","338,154","171,636","54,262","12,037","2,080"
"서울특별시  (1100000000)","10,200,827","1,342,702","452,650","375,075","241,873","139,635","78,895","39,571","11,990","2,602","411","5,061,809","599,379","219,861","182,018","107,304","51,735","23,979","11,233","2,625","572","52","5,139,018","743,323","232,789","193,057","134,569","87,900","54,916","28,338","9,365","2,030","359"
"부산광역시  (2600000000)","3,564,577","538,619","174,980","152,671","101,164","59,573","32,258","13,581","3,553","722","117","1,773,154","235,581","86,146","72,021","43,287","21,068","8,903","3,372","665","114","5","1,791,423","303,038","88,834","80,650","57,877","38,505","23,355","10,209","2,888","608","112"
"대구광역시  (2700000000)","2,492,724","331,818","99,319","93,534","66,407","39,530","20,974","8,921","2,574","473","86","1,246,873","140,066","47,156","42,138","27,739","13,955","6,341","2,171","472","82","12","1,245,851","191,752","52,163","51,396","38,668","25,575","14,633","6,750","2,102","391","74"
"인천광역시  (2800000000)","2,692,696","311,800","95,940","82,387","60,322","37,865","21,310","10,322","2,942","620","92","1,356,473","133,171","47,404","37,694","24,915","12,941","6,240","3,145","674","148","10","1,336,223","178,629","48,536","44,693","35,407","24,924","15,070","7,177","2,268","472","82"
"광주광역시  (2900000000)","1,422,702","171,348","52,895","46,085","32,648","20,510","11,264","5,749","1,749","382","66","705,817","72,550","25,529","21,104","13,589","7,200","3,473","1,309","305","35","6","716,885","98,798","27,366","24,981","19,059","13,310","7,791","4,440","1,444","347","60"
"대전광역시  (3000000000)","1,480,895","170,873","51,651","45,805","33,458","20,582","11,714","5,576","1,668","368","51","741,611","73,718","25,410","21,084","14,075","7,360","3,756","1,575","386","67","5","739,284","97,155","26,241","24,721","19,383","13,222","7,958","4,001","1,282","301","46"
"울산광역시  (3100000000)","1,112,407","104,563","34,568","28,470","18,861","11,728","6,739","3,122","904","155","16","572,815","45,390","17,849","13,549","7,635","3,898","1,651","631","150","27","0","539,592","59,173","16,719","14,921","11,226","7,830","5,088","2,491","754","128","16"
"경기도  (4100000000)","11,292,264","1,306,582","386,950","350,640","263,826","159,405","87,364","42,861","12,468","2,663","405","5,690,673","561,180","186,829","159,754","112,302","58,637","27,371","12,780","2,866","591","50","5,601,591","745,402","200,121","190,886","151,524","100,768","59,993","30,081","9,602","2,072","355"
"강원도  (4200000000)","1,508,575","282,916","72,994","78,040","60,271","35,561","21,324","10,483","3,419","704","120","759,282","120,277","35,058","35,627","26,174","12,427","6,551","3,321","901","199","19","749,293","162,639","37,936","42,413","34,097","23,134","14,773","7,162","2,518","505","101"
"충청북도  (4300000000)","1,519,587","255,324","62,782","68,414","56,872","35,322","19,186","9,221","2,811","628","88","765,398","107,482","30,382","30,875","23,922","12,469","6,359","2,680","662","120","13","754,189","147,842","32,400","37,539","32,950","22,853","12,827","6,541","2,149","508","75"
"충청남도  (4400000000)","2,018,537","382,758","89,070","97,716","88,551","57,096","30,402","14,499","4,340","950","134","1,020,317","162,083","43,278","43,343","37,686","21,899","10,437","4,214","1,052","162","12","998,220","220,675","45,792","54,373","50,865","35,197","19,965","10,285","3,288","788","122"
"전라북도  (4500000000)","1,855,772","361,415","89,184","93,633","78,621","52,125","28,525","14,142","4,102","910","173","924,770","149,782","43,202","41,044","32,360","18,991","9,499","3,755","782","137","12","931,002","211,633","45,982","52,589","46,261","33,134","19,026","10,387","3,320","773","161"
"전라남도  (4600000000)","1,919,000","440,535","102,128","117,600","97,449","65,700","33,539","17,882","4,859","1,158","220","958,491","177,550","48,852","50,914","38,755","22,743","10,815","4,404","907","139","21","960,509","262,985","53,276","66,686","58,694","42,957","22,724","13,478","3,952","1,019","199"
"경상북도  (4700000000)","2,673,931","524,985","122,516","141,221","116,633","74,739","42,447","19,971","6,105","1,184","169","1,343,199","216,225","58,932","61,969","47,686","26,827","13,696","5,504","1,401","186","24","1,330,732","308,760","63,584","79,252","68,947","47,912","28,751","14,467","4,704","998","145"
"경상남도  (4800000000)","3,225,255","495,242","128,771","130,160","105,488","71,042","38,409","16,285","4,148","816","123","1,622,127","198,930","61,826","56,077","41,361","23,478","11,204","4,037","826","109","12","1,603,128","296,312","66,945","74,083","64,127","47,564","27,205","12,248","3,322","707","111"
"제주특별자치도  (5000000000)","560,618","88,749","24,558","22,389","18,133","12,052","5,342","4,286","1,492","433","64","280,088","35,581","12,072","10,270","7,353","3,685","1,263","705","188","43","2","280,530","53,168","12,486","12,119","10,780","8,367","4,079","3,581","1,304","390","62"
