"행정구역","2011년12월_계_총인구수","2011년12월_계_연령구간인구수","2011년12월_계_60~64세","2011년12월_계_65~69세","2011년12월_계_70~74세","2011년12월_계_75~79세","2011년12월_계_80~84세","2011년12월_계_85~89세","2011년12월_계_90~94세","2011년12월_계_95~99세","2011년12월_계_100세 이상","2011년12월_남_총인구수","2011년12월_남_연령구간인구수","2011년12월_남_60~64세","2011년12월_남_65~69세","2011년12월_남_70~74세","2011년12월_남_75~79세","2011년12월_남_80~84세","2011년12월_남_85~89세","2011년12월_남_90~94세","2011년12월_남_95~99세","2011년12월_남_100세 이상","2011년12월_여_총인구수","2011년12월_여_연령구간인구수","2011년12월_여_60~64세","2011년12월_여_65~69세","2011년12월_여_70~74세","2011년12월_여_75~79세","2011년12월_여_80~84세","2011년12월_여_85~89세","2011년12월_여_90~94세","2011년12월_여_95~99세","2011년12월_여_100세 이상"
"전국  (0000000000)","50,734,284","8,020,279","2,319,307","1,897,565","1,640,831","1,130,345","618,481","283,425","95,014","23,677","11,634","25,406,934","3,466,345","1,133,757","886,144","713,163","433,883","192,497","77,030","22,523","4,696","2,652","25,327,350","4,553,934","1,185,550","1,011,421","927,668","696,462","425,984","206,395","72,491","18,981","8,982"
"서울특별시  (1100000000)","10,249,679","1,543,069","498,319","396,019","295,395","180,639","98,901","47,608","17,491","5,111","3,586","5,073,899","692,996","239,941","190,828","137,206","73,276","31,869","13,210","4,590","1,182","894","5,175,780","850,073","258,378","205,191","158,189","107,363","67,032","34,398","12,901","3,929","2,692"
"부산광역시  (2600000000)","3,550,963","623,335","205,292","153,662","122,468","76,220","40,658","17,352","5,197","1,408","1,078","1,762,848","275,672","100,024","73,809","54,415","29,464","12,090","4,289","1,107","246","228","1,788,115","347,663","105,268","79,853","68,053","46,756","28,568","13,063","4,090","1,162","850"
"대구광역시  (2700000000)","2,507,271","380,433","120,395","89,457","76,974","51,513","26,341","11,078","3,476","825","374","1,251,577","163,200","57,837","41,038","32,751","19,739","8,012","2,882","713","147","81","1,255,694","217,233","62,558","48,419","44,223","31,774","18,329","8,196","2,763","678","293"
"인천광역시  (2800000000)","2,801,274","360,437","109,909","87,055","69,834","47,855","27,090","12,834","4,397","1,004","459","1,410,980","157,538","55,093","41,327","30,121","17,831","8,166","3,477","1,181","222","120","1,390,294","202,899","54,816","45,728","39,713","30,024","18,924","9,357","3,216","782","339"
"광주광역시  (2900000000)","1,463,464","197,801","61,390","47,795","38,838","25,409","14,654","6,603","2,311","539","262","725,606","84,639","29,279","22,438","16,705","9,559","4,483","1,677","395","72","31","737,858","113,162","32,111","25,357","22,133","15,850","10,171","4,926","1,916","467","231"
"대전광역시  (3000000000)","1,515,603","196,937","61,197","46,838","38,075","26,479","14,614","6,746","2,221","553","214","759,188","86,504","30,372","22,112","16,712","10,109","4,594","1,887","564","110","44","756,415","110,433","30,825","24,726","21,363","16,370","10,020","4,859","1,657","443","170"
"울산광역시  (3100000000)","1,135,494","124,893","44,428","29,633","22,644","14,692","8,172","3,787","1,174","276","87","583,825","55,966","23,180","14,527","9,892","5,266","2,118","706","221","44","12","551,669","68,927","21,248","15,106","12,752","9,426","6,054","3,081","953","232","75"
"경기도  (4100000000)","11,937,415","1,509,529","437,067","365,063","307,393","209,193","112,985","53,199","18,106","4,408","2,115","6,015,357","658,309","213,887","169,959","134,662","82,124","36,297","15,111","4,731","968","570","5,922,058","851,220","223,180","195,104","172,731","127,069","76,688","38,088","13,375","3,440","1,545"
"강원도  (4200000000)","1,536,448","304,331","71,112","73,979","69,920","45,140","25,611","12,765","4,351","1,024","429","773,278","130,041","34,112","34,321","30,923","17,464","7,859","3,804","1,156","260","142","763,170","174,290","37,000","39,658","38,997","27,676","17,752","8,961","3,195","764","287"
