"행정구역","2009년12월_계_총인구수","2009년12월_계_연령구간인구수","2009년12월_계_60~64세","2009년12월_계_65~69세","2009년12월_계_70~74세","2009년12월_계_75~79세","2009년12월_계_80~84세","2009년12월_계_85~89세","2009년12월_계_90~94세","2009년12월_계_95~99세","2009년12월_계_100세 이상","2009년12월_남_총인구수","2009년12월_남_연령구간인구수","2009년12월_남_60~64세","2009년12월_남_65~69세","2009년12월_남_70~74세","2009년12월_남_75~79세","2009년12월_남_80~84세","2009년12월_남_85~89세","2009년12월_남_90~94세","2009년12월_남_95~99세","2009년12월_남_100세 이상","2009년12월_여_총인구수","2009년12월_여_연령구간인구수","2009년12월_여_60~64세","2009년12월_여_65~69세","2009년12월_여_70~74세","2009년12월_여_75~79세","2009년12월_여_80~84세","2009년12월_여_85~89세","2009년12월_여_90~94세","2009년12월_여_95~99세","2009년12월_여_100세 이상"
"전국  (0000000000)","49,773,145","7,401,159","2,133,451","1,914,041","1,518,328","959,109","533,874","249,131","74,664","15,962","2,599","24,929,939","3,170,380","1,041,371","878,816","646,459","350,568","164,650","68,628","16,713","2,814","361","24,843,206","4,230,779","1,092,080","1,035,225","871,869","608,541","369,224","180,503","57,951","13,148","2,238"
"서울특별시  (1100000000)","10,208,302","1,408,317","472,560","381,602","260,663","149,778","85,720","41,729","12,955","2,839","471","5,059,269","629,964","228,484","185,270","117,548","56,847","26,317","11,799","3,055","568","76","5,149,033","778,353","244,076","196,332","143,115","92,931","59,403","29,930","9,900","2,271","395"
"부산광역시  (2600000000)","3,543,030","565,237","183,466","154,740","108,413","64,105","35,233","14,578","3,752","818","132","1,761,202","248,301","90,108","73,389","47,035","23,271","10,008","3,602","755","122","11","1,781,828","316,936","93,358","81,351","61,378","40,834","25,225","10,976","2,997","696","121"
"대구광역시  (2700000000)","2,489,781","347,399","105,035","93,219","70,306","43,448","22,452","9,535","2,748","561","95","1,243,878","147,584","50,295","42,106","29,564","15,780","6,813","2,398","526","91","11","1,245,903","199,815","54,740","51,113","40,742","27,668","15,639","7,137","2,222","470","84"
"인천광역시  (2800000000)","2,710,579","327,442","101,759","83,104","63,956","40,302","23,142","11,143","3,264","660","112","1,364,809","141,036","50,604","38,425","26,781","14,181","6,807","3,279","801","134","24","1,345,770","186,406","51,155","44,679","37,175","26,121","16,335","7,864","2,463","526","88"
"광주광역시  (2900000000)","1,433,640","180,378","56,295","46,618","34,558","21,890","12,674","5,954","1,865","447","77","711,091","76,702","27,025","21,495","14,573","7,843","3,928","1,451","336","45","6","722,549","103,676","29,270","25,123","19,985","14,047","8,746","4,503","1,529","402","71"
"대전광역시  (3000000000)","1,484,180","179,141","54,621","46,105","35,352","22,333","12,524","5,937","1,804","397","68","743,121","77,873","27,061","21,403","15,056","8,199","3,982","1,665","420","78","9","741,059","101,268","27,560","24,702","20,296","14,134","8,542","4,272","1,384","319","59"
"울산광역시  (3100000000)","1,114,866","110,475","37,174","29,003","20,087","12,565","7,171","3,293","978","183","21","573,607","48,591","19,466","13,820","8,410","4,276","1,799","639","150","31","0","541,259","61,884","17,708","15,183","11,677","8,289","5,372","2,654","828","152","21"
"경기도  (4100000000)","11,460,610","1,371,321","406,149","353,389","279,940","172,611","96,131","45,899","13,860","2,880","462","5,773,569","592,580","197,802","161,716","120,217","65,029","30,196","13,600","3,331","615","74","5,687,041","778,741","208,347","191,673","159,723","107,582","65,935","32,299","10,529","2,265","388"
"강원도  (4200000000)","1,512,870","289,564","72,334","76,805","64,177","37,879","22,731","11,093","3,646","766","133","761,270","123,453","35,043","35,090","28,258","13,578","6,808","3,485","966","193","32","751,600","166,111","37,291","41,715","35,919","24,301","15,923","7,608","2,680","573","101"
"충청북도  (4300000000)","1,527,478","262,181","64,066","66,423","59,304","38,184","20,891","9,542","3,010","658","103","769,968","110,871","31,531","29,968","25,218","13,814","6,689","2,790","714","127","20","757,510","151,310","32,535","36,455","34,086","24,370","14,202","6,752","2,296","531","83"
"충청남도  (4400000000)","2,037,582","393,997","92,749","94,602","90,572","61,981","33,159","15,087","4,716","972","159","1,029,725","167,723","45,874","42,082","38,569","24,209","11,274","4,406","1,138","150","21","1,007,857","226,274","46,875","52,520","52,003","37,772","21,885","10,681","3,578","822","138"
"전라북도  (4500000000)","1,854,508","371,020","93,338","90,189","80,777","55,959","30,955","14,299","4,393","926","184","924,480","154,388","45,498","39,615","33,482","20,604","10,222","3,956","861","135","15","930,028","216,632","47,840","50,574","47,295","35,355","20,733","10,343","3,532","791","169"
"전라남도  (4600000000)","1,913,004","449,340","105,479","111,885","100,841","68,471","37,726","18,291","5,215","1,228","204","955,954","182,163","51,260","48,668","40,588","23,961","11,844","4,646","1,022","152","22","957,050","267,177","54,219","63,217","60,253","44,510","25,882","13,645","4,193","1,076","182"
"경상북도  (4700000000)","2,669,876","540,469","128,241","135,890","121,345","80,946","45,205","20,861","6,510","1,297","174","1,340,977","224,096","63,071","59,716","50,036","29,403","14,341","5,806","1,491","209","23","1,328,899","316,373","65,170","76,174","71,309","51,543","30,864","15,055","5,019","1,088","151"
"경상남도  (4800000000)","3,250,176","513,313","135,326","128,180","109,388","75,476","41,832","17,685","4,415","882","129","1,635,700","208,063","66,034","55,738","43,437","25,222","12,163","4,379","956","122","12","1,614,476","305,250","69,292","72,442","65,951","50,254","29,669","13,306","3,459","760","117"
"제주특별자치도  (5000000000)","562,663","91,565","24,859","22,287","18,649","13,181","6,328","4,205","1,533","448","75","281,319","36,992","12,215","10,315","7,687","4,351","1,459","727","191","42","5","281,344","54,573","12,644","11,972","10,962","8,830","4,869","3,478","1,342","406","70"
