"행정구역","2017년12월_계_총인구수","2017년12월_계_연령구간인구수","2017년12월_계_60~64세","2017년12월_계_65~69세","2017년12월_계_70~74세","2017년12월_계_75~79세","2017년12월_계_80~84세","2017년12월_계_85~89세","2017년12월_계_90~94세","2017년12월_계_95~99세","2017년12월_계_100세 이상","2017년12월_남_총인구수","2017년12월_남_연령구간인구수","2017년12월_남_60~64세","2017년12월_남_65~69세","2017년12월_남_70~74세","2017년12월_남_75~79세","2017년12월_남_80~84세","2017년12월_남_85~89세","2017년12월_남_90~94세","2017년12월_남_95~99세","2017년12월_남_100세 이상","2017년12월_여_총인구수","2017년12월_여_연령구간인구수","2017년12월_여_60~64세","2017년12월_여_65~69세","2017년12월_여_70~74세","2017년12월_여_75~79세","2017년12월_여_80~84세","2017년12월_여_85~89세","2017년12월_여_90~94세","2017년12월_여_95~99세","2017년12월_여_100세 이상"
"전국  (0000000000)","51,778,544","10,666,349","3,310,243","2,347,021","1,793,132","1,585,974","968,146","451,453","153,236","39,294","17,850","25,855,919","4,761,303","1,630,378","1,128,219","820,056","662,122","346,908","126,131","34,873","8,592","4,024","25,922,625","5,905,046","1,679,865","1,218,802","973,076","923,852","621,238","325,322","118,363","30,702","13,826"
"서울특별시  (1100000000)","9,857,426","2,006,472","646,571","462,481","356,509","278,800","152,642","70,471","25,877","7,602","5,519","4,830,206","906,745","307,367","218,051","164,771","125,578","59,470","21,695","6,469","2,016","1,328","5,027,220","1,099,727","339,204","244,430","191,738","153,222","93,172","48,776","19,408","5,586","4,191"
"부산광역시  (2600000000)","3,470,653","837,866","272,339","200,278","143,551","116,352","63,737","28,416","9,367","2,212","1,614","1,709,508","375,181","130,774","94,792","66,418","49,522","23,117","7,785","1,970","476","327","1,761,145","462,685","141,565","105,486","77,133","66,830","40,620","20,631","7,397","1,736","1,287"
"대구광역시  (2700000000)","2,475,231","510,382","162,923","119,995","83,333","73,961","43,499","18,958","5,795","1,303","615","1,227,814","224,548","78,647","56,029","36,870","30,353","15,645","5,296","1,311","260","137","1,247,417","285,834","84,276","63,966","46,463","43,608","27,854","13,662","4,484","1,043","478"
"인천광역시  (2800000000)","2,948,542","523,893","178,869","114,703","86,334","70,435","42,704","20,725","7,439","1,893","791","1,479,597","237,652","89,227","56,436","39,969","29,193","14,977","5,538","1,660","460","192","1,468,945","286,241","89,642","58,267","46,365","41,242","27,727","15,187","5,779","1,433","599"
"광주광역시  (2900000000)","1,463,770","259,819","78,957","59,718","45,257","38,487","22,098","10,458","3,568","931","345","725,295","114,375","38,108","27,947","20,541","16,135","7,855","2,849","761","141","38","738,475","145,444","40,849","31,771","24,716","22,352","14,243","7,609","2,807","790","307"
"대전광역시  (3000000000)","1,502,227","271,745","91,078","60,966","43,704","37,540","22,849","10,753","3,672","869","314","750,969","123,100","44,883","29,543","20,206","15,908","8,310","3,088","890","193","79","751,258","148,645","46,195","31,423","23,498","21,632","14,539","7,665","2,782","676","235"
"울산광역시  (3100000000)","1,165,132","188,429","71,796","45,188","28,279","22,165","12,626","5,804","1,971","447","153","599,480","88,165","36,340","22,981","13,616","9,351","4,103","1,372","306","68","28","565,652","100,264","35,456","22,207","14,663","12,814","8,523","4,432","1,665","379","125"
"세종특별자치시  (3600000000)","280,100","39,401","12,550","8,550","6,040","5,670","3,826","1,942","636","138","49","139,734","17,540","6,253","4,139","2,763","2,341","1,360","513","138","27","6","140,366","21,861","6,297","4,411","3,277","3,329","2,466","1,429","498","111","43"
"경기도  (4100000000)","12,873,895","2,188,530","720,695","471,682","367,856","309,458","188,866","87,833","30,682","8,089","3,369","6,475,323","994,966","360,414","228,209","168,898","131,654","69,846","25,778","7,321","2,017","829","6,398,572","1,193,564","360,281","243,473","198,958","177,804","119,020","62,055","23,361","6,072","2,540"
"강원도  (4200000000)","1,550,142","397,313","117,337","77,070","69,535","66,086","39,372","18,490","7,000","1,726","697","780,635","177,088","59,090","36,868","31,826","27,639","14,298","4,983","1,741","443","200","769,507","220,225","58,247","40,202","37,709","38,447","25,074","13,507","5,259","1,283","497"
"충청북도  (4300000000)","1,594,432","361,423","108,989","73,292","58,591","57,766","38,489","16,823","5,598","1,398","477","805,091","160,999","54,769","35,988","26,728","23,762","13,497","4,506","1,326","289","134","789,341","200,424","54,220","37,304","31,863","34,004","24,992","12,317","4,272","1,109","343"
"충청남도  (4400000000)","2,116,770","496,978","134,032","103,152","79,727","82,097","58,819","27,478","8,716","2,203","754","1,076,270","220,229","67,304","50,300","36,832","33,369","21,500","8,214","2,101","444","165","1,040,500","276,749","66,728","52,852","42,895","48,728","37,319","19,264","6,615","1,759","589"
"전라북도  (4500000000)","1,854,607","476,417","125,135","99,781","80,349","80,641","53,751","25,614","8,332","2,108","706","922,307","206,785","62,351","47,873","36,386","32,016","18,621","7,073","1,929","396","140","932,300","269,632","62,784","51,908","43,963","48,625","35,130","18,541","6,403","1,712","566"
