"행정구역","2010년12월_계_총인구수","2010년12월_계_연령구간인구수","2010년12월_계_60~64세","2010년12월_계_65~69세","2010년12월_계_70~74세","2010년12월_계_75~79세","2010년12월_계_80~84세","2010년12월_계_85~89세","2010년12월_계_90~94세","2010년12월_계_95~99세","2010년12월_계_100세 이상","2010년12월_남_총인구수","2010년12월_남_연령구간인구수","2010년12월_남_60~64세","2010년12월_남_65~69세","2010년12월_남_70~74세","2010년12월_남_75~79세","2010년12월_남_80~84세","2010년12월_남_85~89세","2010년12월_남_90~94세","2010년12월_남_95~99세","2010년12월_남_100세 이상","2010년12월_여_총인구수","2010년12월_여_연령구간인구수","2010년12월_여_60~64세","2010년12월_여_65~69세","2010년12월_여_70~74세","2010년12월_여_75~79세","2010년12월_여_80~84세","2010년12월_여_85~89세","2010년12월_여_90~94세","2010년12월_여_95~99세","2010년12월_여_100세 이상"
"전국  (0000000000)","50,515,666","7,782,587","2,276,235","1,915,094","1,569,480","1,049,045","580,579","271,189","87,444","22,391","11,130","25,310,385","3,352,625","1,113,044","886,479","675,908","394,812","179,572","74,327","20,983","4,782","2,718","25,205,281","4,429,962","1,163,191","1,028,615","893,572","654,233","401,007","196,862","66,461","17,609","8,412"
"서울특별시  (1100000000)","10,312,545","1,504,667","501,897","393,267","277,164","166,935","94,440","46,009","16,492","4,940","3,523","5,111,259","675,208","241,886","190,699","127,190","65,913","29,867","13,028","4,389","1,262","974","5,201,286","829,459","260,011","202,568","149,974","101,022","64,573","32,981","12,103","3,678","2,549"
"부산광역시  (2600000000)","3,567,910","599,836","198,052","154,143","115,168","70,791","38,051","16,490","4,719","1,379","1,043","1,773,170","264,721","96,956","73,678","50,644","26,722","11,059","4,116","1,022","291","233","1,794,740","335,115","101,096","80,465","64,524","44,069","26,992","12,374","3,697","1,088","810"
"대구광역시  (2700000000)","2,511,676","366,227","114,143","91,978","73,030","47,888","24,322","10,541","3,163","808","354","1,255,245","156,512","54,883","41,831","30,885","17,977","7,337","2,703","662","155","79","1,256,431","209,715","59,260","50,147","42,145","29,911","16,985","7,838","2,501","653","275"
"인천광역시  (2800000000)","2,758,296","346,561","108,756","84,886","66,186","43,893","25,321","12,241","3,908","954","416","1,390,356","150,722","54,444","39,856","28,038","16,050","7,508","3,443","1,035","231","117","1,367,940","195,839","54,312","45,030","38,148","27,843","17,813","8,798","2,873","723","299"
"광주광역시  (2900000000)","1,454,636","190,347","59,890","47,518","36,019","23,729","13,909","6,369","2,114","538","261","721,780","81,229","28,702","22,030","15,309","8,871","4,280","1,570","355","76","36","732,856","109,118","31,188","25,488","20,710","14,858","9,629","4,799","1,759","462","225"
"대전광역시  (3000000000)","1,503,664","189,437","59,192","46,980","36,223","24,295","13,566","6,459","2,026","519","177","753,648","82,903","29,422","21,968","15,635","9,138","4,277","1,794","517","113","39","750,016","106,534","29,770","25,012","20,588","15,157","9,289","4,665","1,509","406","138"
"울산광역시  (3100000000)","1,126,298","118,181","41,381","29,127","21,314","13,664","7,662","3,600","1,097","241","95","579,071","52,609","21,679","14,098","9,099","4,801","1,968","707","196","46","15","547,227","65,572","19,702","15,029","12,215","8,863","5,694","2,893","901","195","80"
"경기도  (4100000000)","11,786,622","1,456,012","433,556","360,847","291,622","191,541","105,422","50,462","16,407","4,166","1,989","5,942,454","632,992","211,812","166,514","126,804","73,878","33,454","14,689","4,280","1,006","555","5,844,168","823,020","221,744","194,333","164,818","117,663","71,968","35,773","12,127","3,160","1,434"
"강원도  (4200000000)","1,529,818","299,088","72,583","75,915","67,374","41,148","24,365","12,230","4,100","965","408","769,807","127,736","35,049","34,903","29,878","15,347","7,326","3,696","1,154","246","137","760,011","171,352","37,534","41,012","37,496","25,801","17,039","8,534","2,946","719","271"
