가계지출항목별 ,2018,2018,2018
가계지출항목별 ,전체가구,근로자가구,근로자외가구
소계,388518,408263,380283
곡물  ,29663,32382,28529
곡물가공품  ,15149,17021,14368
빵및떡류  ,16562,19326,15410
육류  ,58256,59054,57923
육류가공품  ,7169,7776,6916
신선수산동물  ,33877,29286,35793
염건수산동물  ,10698,11017,10564
기타수산동물가공  ,8106,8369,7996
유제품및알  ,22632,24447,21875
유지류  ,3739,3556,3815
과일및과일가공품  ,50285,59029,46638
채소및채소가공품  ,56307,57369,55864
해조및해조가공품  ,5227,4521,5522
당류및과자류  ,17107,19818,15977
조미식품  ,25865,24750,26330
기타식품  ,12200,14148,11388
커피및차  ,6515,6910,6350
쥬스및기타음료  ,9162,9482,9028
