가계지출항목별  ,2018,2018,2018
가계지출항목별  ,전체가구,근로자가구,근로자외가구
소계,402601,405046,396683
곡물  ,15287,15126,15677
곡물가공품  ,20293,20443,19930
빵및떡류  ,30185,31507,26987
육류  ,60741,60625,61022
육류가공품  ,16595,17055,15479
신선수산동물  ,18861,17068,23201
염건수산동물  ,6641,6127,7886
기타수산동물가공  ,8513,8442,8687
유제품및알  ,31971,33176,29054
유지류  ,3019,2966,3148
과일및과일가공품  ,48510,49044,47218
채소및채소가공품  ,32650,32188,33768
해조및해조가공품  ,4837,4886,4719
당류및과자류  ,37167,38755,33323
조미식품  ,10954,10637,11721
기타식품  ,28023,28556,26735
커피및차  ,10085,10018,10246
쥬스및기타음료  ,18267,18426,17883
