가계지출항목별 ,2018,2018,2018
가계지출항목별 ,전체가구,근로자가구,근로자외가구
소계,407618,410648,403275
곡물  ,22596,21700,23879
곡물가공품  ,18790,19090,18360
빵및떡류  ,24787,25980,23077
육류  ,68746,67059,71162
육류가공품  ,13658,12988,14617
신선수산동물  ,25288,24348,26635
염건수산동물  ,8631,8685,8554
기타수산동물가공  ,7620,8265,6697
유제품및알  ,26109,27281,24429
유지류  ,3036,3374,2550
과일및과일가공품  ,53535,55608,50566
채소및채소가공품  ,45564,43996,47811
해조및해조가공품  ,4660,4881,4344
당류및과자류  ,24182,26020,21547
조미식품  ,15010,15219,14710
기타식품  ,20574,21219,19650
커피및차  ,9734,9453,10136
쥬스및기타음료  ,15098,15481,14551
